id,name,path_lower,path_display,is_folder,size,client_modified,rev
id:dbx0001,Naples_Trip_2016,/naples_trip_2016,/Naples_Trip_2016,true,0,2016-04-15T12:00:00Z,
id:dbx0002,naples_storefront_01.jpg,/naples_trip_2016/naples_storefront_01.jpg,/Naples_Trip_2016/naples_storefront_01.jpg,false,3841220,2016-04-11T10:20:00Z,01a
id:dbx0003,naples_pasticceria_interior.jpg,/naples_trip_2016/naples_pasticceria_interior.jpg,/Naples_Trip_2016/naples_pasticceria_interior.jpg,false,3122004,2016-04-11T10:24:00Z,01b
id:dbx0004,Recipes_Archive,/recipes_archive,/Recipes_Archive,true,0,2025-11-02T09:00:00Z,
id:dbx0005,sfogliatelle_riccia.pdf,/recipes_archive/sfogliatelle_riccia.pdf,/Recipes_Archive/sfogliatelle_riccia.pdf,false,184220,2024-12-18T15:00:00Z,02a
id:dbx0006,croissant_v3_notes.docx,/recipes_archive/croissant_v3_notes.docx,/Recipes_Archive/croissant_v3_notes.docx,false,44120,2025-10-19T08:30:00Z,02b
id:dbx0007,cheesecake_grandma.docx,/recipes_archive/cheesecake_grandma.docx,/Recipes_Archive/cheesecake_grandma.docx,false,39880,2025-09-01T11:00:00Z,02c
id:dbx0008,old_costing_2025.xlsx,/recipes_archive/old_costing_2025.xlsx,/Recipes_Archive/old_costing_2025.xlsx,false,21110,2025-06-04T13:00:00Z,02d
id:dbx0009,panettone_test_dec2025.jpg,/recipes_archive/panettone_test_dec2025.jpg,/Recipes_Archive/panettone_test_dec2025.jpg,false,2944120,2025-12-04T16:40:00Z,02e
id:dbx0010,Family,/family,/Family,true,0,2026-08-30T18:00:00Z,
id:dbx0011,sunday_angelas.jpg,/family/sunday_angelas.jpg,/Family/sunday_angelas.jpg,false,3550100,2026-08-30T17:30:00Z,03a
id:dbx0012,river_trail_route.gpx,/river_trail_route.gpx,/river_trail_route.gpx,false,12880,2026-09-28T07:30:00Z,03b
